name,order,trigger,invocationService,invocationAction,rollbackService,rollbackAction,_id,status,error,rollbackError,saga_instance_id
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,142aa58a-164e-44a8-bb03-6abf34f00b29,IN_PROGRESS,,,64c13eadd3565b66c63d024a
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,718f6cf1-4088-458e-81c4-833b73de02cd,PENDING,,,64c13eaed3565b66c63d0252
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,c449f944-6009-4a45-a591-1b16b287d40c,IN_PROGRESS,,,64c13eaeed8f09ca734d5894
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,c77624de-ac36-4bb9-9b1d-e01088f3eec3,PENDING,,,64c13eaeed8f09ca734d5893
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,0be82225-9692-4776-bff2-418092ec4fa7,FAILED,,,64c13eaed3565b66c63d0253
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,14e2deca-74f1-4d87-9f30-81d1e313ce16,PENDING,,,64c13eafd3565b66c63d025a
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,9844adde-39fc-4a2b-b202-dbeadf94d14e,FAILED,,,64c13eafed8f09ca734d589c
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,dbfe564c-964f-4dfd-bcaf-14c7531126e1,PENDING,,,64c13eafd3565b66c63d025b
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,1c27a31d-52a0-49c1-9cbb-b952ea614820,IN_PROGRESS,,,64c13eafed8f09ca734d589b
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,80eea837-3d87-45a2-9b7d-944e527acb73,PENDING,,,64c13eb1ed8f09ca734d58a7
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,598bbd0c-0c03-4001-9770-479a1c36a0e4,IN_PROGRESS,,,64c13eb1d3565b66c63d0266
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,d67d2a99-cf5b-4376-978a-dd5af2822a36,PENDING,,,64c13eb1d3565b66c63d0268
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,ba773783-c0fc-4cde-82ac-91b898e956d0,FAILED,,,64c13eb1ed8f09ca734d58a9
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,fc67da04-815f-4372-bf8d-cbcc5a864282,PENDING,,,64c13eb2ed8f09ca734d58b1
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,d443e4f7-1b97-4f39-9e71-42b2f2267f37,IN_PROGRESS,,,64c13eb2d3565b66c63d0270
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,1ed64e64-198a-4e31-a6b8-573e878aafd9,PENDING,,,64c13eb2ed8f09ca734d58b3
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,acf75364-0e78-4fa4-ab32-13c3d590861f,FAILED,,,64c13eb2d3565b66c63d0272
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,a870fe20-18d6-4524-bdc9-4e2ff425c08b,PENDING,,,64c13eb3ed8f09ca734d58bb
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,2c499afd-940c-4af4-a32b-2969b139b5d7,IN_PROGRESS,,,64c13eb3d3565b66c63d027a
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,e2bac1fa-13c3-47f0-bda6-79e5aed43af0,PENDING,,,64c13eb3d3565b66c63d027b
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,accf49aa-0551-4635-97b6-d79c862399cc,FAILED,,,64c13eb3ed8f09ca734d58bc
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,6ce5cf28-343e-4175-b5fa-64f8e8e2bb0f,PENDING,,,64c13eb4d3565b66c63d0283
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,aa19bc77-f440-47a5-9e92-560c86f9e1d6,FAILED,,,64c13eb4d3565b66c63d0282
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,d13618f8-053f-4cd6-9ff1-0d660201d264,PENDING,,,64c13eb4ed8f09ca734d58c4
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,12674e2c-79bc-4d94-bc7c-02d1333c8fa9,FAILED,,,64c13eb4ed8f09ca734d58c5
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,36c306d8-592f-4992-9684-34bb3096d556,PENDING,,,64c13eb6d3565b66c63d028e
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,e44a8ac3-fdaa-40bd-9091-8c915bbd6abe,IN_PROGRESS,,,64c13eb6ed8f09ca734d58cf
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,73d0c809-6444-4f8d-a9f1-396851be082c,PENDING,,,64c13eb6ed8f09ca734d58d1
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,31c12628-c4ed-450f-af81-e3a8cc8ad7c4,IN_PROGRESS,,,64c13eb6d3565b66c63d0290
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,273872ba-25c2-41fa-a349-6030547b8321,PENDING,,,64c13eb7ed8f09ca734d58d9
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,3c07328f-5d3b-4009-9cf8-e0a777a5a6af,IN_PROGRESS,,,64c13eb7d3565b66c63d0298
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,15053b79-2588-4f4e-9d5d-48683faaf66c,PENDING,,,64c13eb7ed8f09ca734d58db
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,ed5a01dd-5a57-4a4a-9b46-59ff413a1252,FAILED,,,64c13eb7d3565b66c63d029a
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,28d13278-3be9-49eb-a1ce-6528e9d61451,PENDING,,,64c13eb8d3565b66c63d02a3
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,5a9d3291-f6eb-4218-939d-dfba05f73ca6,FAILED,,,64c13eb8d3565b66c63d02a2
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,a76b3958-8516-4577-a458-498d69e27f98,PENDING,,,64c13eb8ed8f09ca734d58e3
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,9cc3a38b-403c-4308-9ae2-f6ae1ab9f293,IN_PROGRESS,,,64c13eb8ed8f09ca734d58e4
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,56c65e9f-82c2-400d-a9ec-cae48b803dcc,PENDING,,,64c13eb9d3565b66c63d02aa
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,d4f34790-ad1c-49cd-b98f-207d8e03d3af,IN_PROGRESS,,,64c13eb9d3565b66c63d02ab
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,d0811609-5724-4cb4-92e0-cf2db4b19f2e,PENDING,,,64c13eb9ed8f09ca734d58ec
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,ba1674b0-382f-41c0-92c0-0984d23120e7,FAILED,,,64c13eb9ed8f09ca734d58eb
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,014407a6-76bf-4021-87a7-1ea2ac029513,PENDING,,,64c13ebbed8f09ca734d58f7
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,52a7b77a-793c-4d75-a2e9-c12b68348db9,FAILED,,,64c13ebbed8f09ca734d58f8
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,f301c8c5-22b6-4b4f-9cb6-7e02d508b55d,PENDING,,,64c13ebbd3565b66c63d02b6
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,ec0cf2ff-83ea-44a2-9f0e-274e0575b78a,IN_PROGRESS,,,64c13ebbd3565b66c63d02b8
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,b3c5baee-1cca-480d-b577-8fc7f4f59a84,PENDING,,,64c13ebced8f09ca734d5901
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,43c58d3d-8e43-496a-b785-f1b77523ab08,IN_PROGRESS,,,64c13ebced8f09ca734d5902
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,c3a4854c-40a4-434d-a99b-1be4e4062f83,PENDING,,,64c13ebcd3565b66c63d02c0
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,2c5347e3-26a2-4fef-9971-9b5012a414a9,IN_PROGRESS,,,64c13ebcd3565b66c63d02c2
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,51c7b9bf-f6fa-4198-b57f-acb16e1b298d,PENDING,,,64c13ebded8f09ca734d590b
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,7753388a-7b4e-41ba-931a-a9ba936c4ee6,FAILED,,,64c13ebded8f09ca734d590d
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,fbf19691-5706-4926-a087-b174f0c0301f,PENDING,,,64c13ebdd3565b66c63d02cb
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,0100347f-851e-44f4-99dc-85bf4330e897,FAILED,,,64c13ebdd3565b66c63d02ca
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,8234d669-fbba-46e5-957e-1a734c554e30,PENDING,,,64c13ebed3565b66c63d02d3
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,31a33af1-a690-4686-aeec-27906a2a9dba,FAILED,,,64c13ebed3565b66c63d02d2
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,fb269e90-5ea1-471a-b2e9-01c96f3c3c24,PENDING,,,64c13ebeed8f09ca734d5913
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,4c5914c5-1b43-4b4c-b265-75f83b5a83a0,IN_PROGRESS,,,64c13ebeed8f09ca734d5914
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,87f031ef-bd67-451d-a0a1-7759546a3dce,PENDING,,,64c13ec0ed8f09ca734d591f
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,26bfaaf8-3e06-45c1-b3d3-3d3c73410f24,IN_PROGRESS,,,64c13ec0d3565b66c63d02de
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,0d045399-1b86-40ab-9fc7-66bbe1affbcf,PENDING,,,64c13ec0ed8f09ca734d5921
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,27c138a1-e5e7-41eb-9553-7e8b180e8c90,FAILED,,,64c13ec0d3565b66c63d02e0
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,45c4557d-dc96-42e7-ae49-d68172b285f3,PENDING,,,64c13ec1ed8f09ca734d5929
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,6fcd74e0-722b-4fb8-ba8c-654b958ba403,IN_PROGRESS,,,64c13ec1d3565b66c63d02e8
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,53441d52-63c9-4497-b645-f876675c4889,PENDING,,,64c13ec1d3565b66c63d02ea
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,451c1575-ca74-4471-b123-68d4243d3b28,FAILED,,,64c13ec1ed8f09ca734d592b
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,fb312f75-f0f4-4be1-943d-2d7f03d6afcf,PENDING,,,64c13ec2d3565b66c63d02f2
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,5ca1f887-60cb-48e4-b305-c1bf33d70f08,FAILED,,,64c13ec2ed8f09ca734d5933
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,1e10fcac-f56c-403b-9468-5a0454f389f5,PENDING,,,64c13ec2ed8f09ca734d5934
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,331f1417-5e62-41f3-98af-183bcea657ab,IN_PROGRESS,,,64c13ec2d3565b66c63d02f3
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,2574653f-fe81-4b41-97a1-8706c8cacc63,PENDING,,,64c13ec3d3565b66c63d02fa
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,1fe81033-430e-4de0-b5e1-38158cdcec9c,FAILED,,,64c13ec3d3565b66c63d02fb
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,4d1b417d-08b9-4fdb-8319-29b83ca871a6,PENDING,,,64c13ec3ed8f09ca734d593c
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,27127899-5b6b-4e1b-bef9-0260f91c8988,IN_PROGRESS,,,64c13ec3ed8f09ca734d593b
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,32e4d449-dd6b-4234-941a-2168b52b01b1,PENDING,,,64c13ec5d3565b66c63d0306
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,0f145af5-df55-493f-a638-a37baf46e997,IN_PROGRESS,,,64c13ec5ed8f09ca734d5947
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,8f601ef2-89ae-46d3-8ec9-5fc1294c0f11,PENDING,,,64c13ec5d3565b66c63d0308
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,54c2c2e8-45f9-4634-b1bb-77e29e37af8c,FAILED,,,64c13ec5ed8f09ca734d5949
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,b06c339d-d4be-46f6-974c-587f0668cfcd,PENDING,,,64c13ec6d3565b66c63d0310
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,9784b183-9041-4163-8252-5a2fcfef93e7,IN_PROGRESS,,,64c13ec6ed8f09ca734d5951
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,39edef3d-3420-4714-a4fc-717df7b7493a,PENDING,,,64c13ec6d3565b66c63d0312
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,f1bceb39-4bc3-41cf-a552-b741d58f336e,IN_PROGRESS,,,64c13ec6ed8f09ca734d5953
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,5efb774b-32fc-4a21-9f22-e6a460863c20,PENDING,,,64c13ec7d3565b66c63d031b
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,88c034d6-3488-4e22-b936-06146aeb6a6a,FAILED,,,64c13ec7ed8f09ca734d595b
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,be841e2b-0d24-40ad-a53b-7a0b7fa01351,PENDING,,,64c13ec7d3565b66c63d031a
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,5ae8ad0a-13b0-4951-b9b1-a6f1155bdcd2,FAILED,,,64c13ec7d3565b66c63d0319
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,2366aae3-99d5-428a-bd83-8e439a9a1ec2,PENDING,,,64c13ec8ed8f09ca734d595f
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,f20c9c9c-42bf-4280-8055-707d8ef24163,FAILED,,,64c13ec8d3565b66c63d0326
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,6db9f228-6289-423a-abfe-01eac0ffa3df,PENDING,,,64c13ec8ed8f09ca734d5960
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,f72565a3-f70c-44cb-b474-176cb375c854,FAILED,,,64c13ec8d3565b66c63d0327
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,386d5bf4-e282-4c6c-a6e0-122cac9c7923,PENDING,,,64c13ecad3565b66c63d0332
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,5a4514f9-90f8-454a-a958-66201010e773,IN_PROGRESS,,,64c13ecaed8f09ca734d596b
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,c1f554d7-d221-483e-99de-7e0cae0658ba,PENDING,,,64c13ecad3565b66c63d0333
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,2f466da0-2757-48be-b948-bdfeaaf30515,IN_PROGRESS,,,64c13ecaed8f09ca734d596d
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,6473f16c-9710-46fd-9c07-721689794b28,PENDING,,,64c13ecbd3565b66c63d033e
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,50e5edd6-d79a-4912-ab84-6bbbcf791800,FAILED,,,64c13ecbd3565b66c63d033c
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,2a1fed8c-2e16-4945-8ed9-ccfce2c48992,PENDING,,,64c13ecbed8f09ca734d5976
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,f75d8757-a302-42d3-ab12-846a2a96e069,IN_PROGRESS,,,64c13ecbed8f09ca734d5975
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,9174c262-5579-43ed-9b1b-09f448d451f2,PENDING,,,64c13ecced8f09ca734d597f
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,2b604af4-13b7-468b-8bca-f3d6f731662f,FAILED,,,64c13ecced8f09ca734d5980
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,1a7db60b-9697-482a-b549-305496188e95,PENDING,,,64c13eccd3565b66c63d0344
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,f3eb32eb-77ab-4002-aa43-b7b4b88505fb,IN_PROGRESS,,,64c13eccd3565b66c63d0345
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,74c52fb6-f241-4eaf-ac9c-a365d0792799,PENDING,,,64c13ecded8f09ca734d5987
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,b7d6bb02-215b-4132-93ce-1c3bebcb84bd,IN_PROGRESS,,,64c13eceed8f09ca734d598d
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,521e508c-2be5-4fb6-bfa1-844901f4d69c,PENDING,,,64c13eced3565b66c63d0350
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,743c348e-5a0a-4547-868c-c15879737e98,FAILED,,,64c13eceed8f09ca734d598e
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,efb94aac-152e-4bc9-9777-c00cafeacde8,PENDING,,,64c13eced3565b66c63d0352
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,e95ea57e-f84c-4d1b-89bd-92bafd7c2776,FAILED,,,64c13ecfed8f09ca734d5997
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,adb4aed9-7f32-499e-8d32-ea0ce2a0bc0e,PENDING,,,64c13ecfd3565b66c63d035a
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,1edb1c99-9f7e-42be-9963-0bff4e029194,IN_PROGRESS,,,64c13ecfed8f09ca734d5999
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,48f8b25a-1546-4716-b172-cd6659024944,PENDING,,,64c13ecfd3565b66c63d035c
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,d5f8777e-e73f-4830-8ebb-c849edf73a94,IN_PROGRESS,,,64c13ed0ed8f09ca734d59a0
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,03e1709c-5c6f-4ddc-9530-87b00b93b116,PENDING,,,64c13ed0d3565b66c63d0363
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,ea06ec3a-e36e-401a-a00a-e6596703e95e,IN_PROGRESS,,,64c13ed0d3565b66c63d0364
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,8ed17a14-babf-414b-a43c-2d69e72e3bb9,PENDING,,,64c13ed0d3565b66c63d0365
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,1761d85b-9017-4c08-818e-cfa43862dcba,FAILED,,,64c13ed1ed8f09ca734d59a5
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,cb743582-b68b-495b-b5e2-085a253a0ebb,PENDING,,,64c13ed1d3565b66c63d0370
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,9dd2871b-6603-4608-a4f3-26113a182014,FAILED,,,64c13ed2ed8f09ca734d59ad
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,21f994bc-c729-44a0-b268-d8b36f3eb8fa,PENDING,,,64c13ed2d3565b66c63d0376
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,f3d8756b-5735-48d6-ae19-1f978851efb2,FAILED,,,64c13ed2ed8f09ca734d59af
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,5e39da64-560d-4a83-a275-adf2bddbc2b9,PENDING,,,64c13ed2d3565b66c63d0378
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,7f8718ff-83d8-47f6-a262-8b071f431a6f,IN_PROGRESS,,,64c13ed3ed8f09ca734d59b5
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,3bd87ff9-3b89-480a-84e5-b52d9fca14cc,PENDING,,,64c13ed3d3565b66c63d037f
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,86640253-09d7-49b3-808f-d0af75ab3294,FAILED,,,64c13ed3d3565b66c63d037e
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,b84bc9eb-d898-4510-8dc3-07afdc175f3a,PENDING,,,64c13ed3ed8f09ca734d59b6
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,c3520b17-91f5-4dcc-8adc-2eb994b28748,IN_PROGRESS,,,64c13ed5ed8f09ca734d59c1
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,c80a31df-f275-44a4-99bb-1ccf06923bda,PENDING,,,64c13ed5d3565b66c63d038a
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,89a22f39-5cd0-4437-ba68-38a3082115e8,IN_PROGRESS,,,64c13ed5d3565b66c63d038b
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,ee4cb507-f2aa-42e6-9b51-1a3b5454f061,PENDING,,,64c13ed5d3565b66c63d038e
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,681d0cba-5b58-46ff-b551-d6eca472c743,FAILED,,,64c13ed6ed8f09ca734d59c7
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,8bd8693a-f2d9-48f6-9bcd-2e4573e0b70e,PENDING,,,64c13ed6d3565b66c63d0398
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,9ad7fff0-4a78-43c6-9a2e-6e207193f9a7,FAILED,,,64c13ed6d3565b66c63d0399
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,433a7eae-87e7-4ece-8e1b-d87bd12f6648,PENDING,,,64c13ed6d3565b66c63d039c
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,ab1af0ae-2496-40b2-8e1f-a493481b0645,IN_PROGRESS,,,64c13ed7ed8f09ca734d59cd
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,aedd37bb-2d18-4452-9297-fbebd1bce334,PENDING,,,64c13ed7ed8f09ca734d59cf
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,c583207f-8e5d-454b-b090-adaa9be895dd,FAILED,,,64c13ed7d3565b66c63d03a7
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,51833920-1c85-4525-8ab6-9eca702ff58a,PENDING,,,64c13ed7d3565b66c63d03a6
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,96ed3b0c-4840-4e60-b3cb-56fb7159c3d3,IN_PROGRESS,,,64c13ed8ed8f09ca734d59d5
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,30b2b55f-5fdd-4fa3-9732-1ab2b600e9fb,PENDING,,,64c13ed8d3565b66c63d03af
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,6def3236-0eff-4937-aea6-5c243141eabb,IN_PROGRESS,,,64c13ed8d3565b66c63d03ae
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,3a1a8017-4a8d-4c37-baa2-976b70c27f57,PENDING,,,64c13ed9ed8f09ca734d59db
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,9401328e-34c0-4cd1-bceb-0f2cd765729e,FAILED,,,64c13ed9ed8f09ca734d59dc
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,e15c174e-9f6b-4bdf-960a-3ed26316fb94,PENDING,,,64c13ed9d3565b66c63d03b8
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,ebfdaa40-0190-4c6e-8047-95dae52b86e8,FAILED,,,64c13ed9d3565b66c63d03b9
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,55ae5f7a-088a-466a-a22f-90a578e3fe09,PENDING,,,64c13edaed8f09ca734d59e3
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,c712a574-7f85-4ff8-a678-3f77142211af,IN_PROGRESS,,,64c13edad3565b66c63d03c2
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,90eb1a59-9474-4570-8976-033ea6bf97ea,PENDING,,,64c13edbed8f09ca734d59eb
calculate-autoconsumption,1,AUTO,cer-plus-schedulers,calculate-autoconsumption,,,84c55b91-8907-4218-b035-1863aa7afd89,FAILED,,,64c13edbd3565b66c63d03c8
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,8bab6368-37b7-462c-a8aa-c5c8c9a3b014,PENDING,,,64c13edbed8f09ca734d59ed
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,e329bd66-3243-468f-b1d6-3d0f7643ce53,IN_PROGRESS,,,64c13edbd3565b66c63d03ca
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,965855ea-9029-4520-937b-5e6c1f09034b,PENDING,,,64c13edcd3565b66c63d03d1
generate-consumptions-per-hour,1,AUTO,cer-plus-autoconsumption,generate-consumptions-per-hour,,,e544d2f4-ec7e-41ec-a9ba-14ccb4b23692,IN_PROGRESS,,,64c13edced8f09ca734d59f3
send-email-to-operator,2,AUTO,netido-emailing-service-api,send-email,,,9a995260-08a8-401e-8c41-24acd7411649,PENDING,,,64c13edced8f09ca734d59f4
